5 .47 .62  9 10 125.7
5 .57 .67 10 10 135.6
5 .50 .65  7 10 106.8
. .50 .62  8 10 106.4
5 .52 .64  7 10 114.8
5 .48 .66  7 10 118.0
5 .54 .67  6 10 135.1
5 .63 .65  7  8 125.6
4 .60 .69  7  8 131.3
4 .53 .74 10  9 121.3
5 .71 .55  6  8  89.4
5 .58 .60  6 10  94.5
4 .55 .56  7  9  90.4
3 .47 .66 10  8 150.8
3 .43   .  9  8 155.8
5 .65 .63  7  8 112.6
5 .67 .67  6  8 107.1
3 .52 .59  5  7  73.9
3 .44 .57  5  7  78.8
5 .64 .60  5  7 131.0
5 .62 .61  4  7 128.1
5 .70 .59  7  7 105.7
5 .72 .54  7  6 106.6
6 .67 .53  7  6 150.9
6 .64 .56  7  7 135.6
5 .94 .48  6  6  88.9
5 .84 .48  5  5  85.5
5 .68 .46  6  5  81.5
2 .75 .48  4  3  99.3
2 .65 .49  4  4  96.9
